Znak,P1_1,P1_2,P2_1,P2_2,P3_1,P3_2,P4_1,P4_2,P5_1,P5_2
a,16709,8282,15693,15935,14632,16333,25601,15111,12962,14558
a,16709,8286,15692,15936,14633,16335,25615,15110,12962,14561
a,16709,8288,15694,15939,14635,16335,25590,15112,12962,14562
a,16708,8276,15692,15932,14632,16332,25562,15110,12960,14555
a,16706,8282,15691,15927,14629,16328,25668,15112,12960,14553
a,16706,8281,15692,15930,14630,16330,25694,15110,12962,14555
a,16705,8283,15691,15923,14628,16326,25781,15109,12961,14556
a,16703,8286,15689,15918,14627,16319,25784,15107,12959,14552
a,16703,8288,15690,15923,14626,16325,25757,15110,12959,14552
a,16702,8286,15689,15918,14634,16324,25735,15110,12959,14553
a,16701,8284,15689,15917,14628,16320,25860,15108,12960,14543
a,16699,8282,15690,15917,14625,16317,25873,15106,12958,14541
a,16699,8283,15689,15913,14626,16320,25845,15108,12959,14544
a,16698,8281,15691,15916,14627,16318,25848,15107,12959,14542
a,16697,8284,15690,15912,14622,16316,25828,15105,12959,14541
a,16695,8313,15689,15909,14623,16311,25721,15105,12957,14538
a,16694,8327,15689,15907,14623,16312,25445,15105,12955,14539
a,16692,8368,15689,15899,14618,16306,25987,15101,12951,14532
a,16692,8381,15689,15902,14621,16308,25687,15102,12953,14533
a,16692,8355,15689,15906,14621,16307,25496,15104,12954,14536
a,16692,8343,15690,15901,14623,16308,25428,15105,12954,14539
a,16691,8383,15689,15899,14619,16305,25940,15102,12952,14531
a,16687,8389,15685,15891,14615,16302,26186,15097,12947,14533
a,16687,8386,15687,15895,14619,16303,26051,15099,12946,14530
a,16686,8372,15685,15887,14616,16301,26210,15097,12947,14532
a,16685,8308,15679,15879,14610,16298,26292,15092,12943,14530
a,16685,8315,15681,15885,14612,16299,26249,15094,12944,14532
a,16684,8296,15678,15875,14609,16296,26304,15091,12940,14528
a,16683,8298,15679,15872,14608,16292,26305,15093,12940,14527
a,16680,8303,15680,15865,14608,16287,26279,15087,12934,14518
a,16680,8295,15678,15868,14606,16288,26292,15090,12938,14522
a,16679,8341,15682,15862,14606,16286,26158,15086,12932,14514
a,16677,8330,15678,15851,14604,16279,25693,15084,12927,14509
a,16677,8330,15681,15855,14605,16283,25999,15083,12931,14512
a,16676,8380,15679,15840,14597,16272,24373,15076,12921,14502
a,16675,8335,15680,15848,14602,16278,25753,15082,12927,14507
a,16674,8361,15680,15844,14599,16276,25538,15081,12923,14503
a,16671,8389,15676,15832,14593,16269,24809,15074,12918,14499
a,16670,8378,15673,15825,14590,16267,25209,15072,12915,14495
a,16669,8379,15673,15822,14587,16265,25475,15070,12912,14491
a,16663,8379,15670,15815,14582,16259,25660,15065,12911,14487
a,16537,23755,14457,15243,12682,16340,15573,13366,11059,14086
a,16531,23882,14478,15226,12659,16327,15973,13445,11120,14154
a,16521,23108,14191,15191,12505,16251,16452,13791,11380,14578
a,16521,23846,14398,15297,12615,16308,15879,13324,10992,14143
a,16519,23324,14397,15194,12517,16261,16397,13743,11344,14517
a,16514,23632,14135,15354,12478,16240,16486,13819,11399,14620
a,16512,22917,14385,15140,12454,16227,16517,13840,11415,14657
a,16510,23623,14258,15319,12519,16267,16003,13376,10970,13937
a,16508,23716,14478,15160,12531,16274,15907,13334,11021,14085
a,16508,23698,14378,15274,12550,16284,15682,13148,10894,14098
a,16281,7254,14958,15645,14346,16530,16127,14169,11829,14227
a,16280,24616,15128,15205,13156,16350,17073,14454,11870,14825
a,16279,7264,14970,15643,14359,16527,16124,14191,11860,14227
a,16279,7272,14968,15645,14360,16529,16125,14185,11847,14227
a,16279,7245,14953,15643,14341,16532,16125,14160,11823,14225
a,16278,7272,14962,15644,14352,16529,16124,14175,11835,14227
a,16276,7249,14974,15645,14363,16518,16126,14204,11864,14229
a,16276,7257,14971,15642,14363,16524,16124,14188,11854,14224
a,16275,7234,14973,15646,14359,16520,16125,14198,11862,14226
a,16275,7228,14969,15643,14360,16521,16124,14192,11860,14223
a,16271,6964,14718,15600,13877,16235,16105,13887,11559,14292
a,16270,7963,14171,15235,12230,15468,16382,13579,11095,14539
a,16270,7241,14972,15641,14364,16513,16122,14209,11874,14227
a,16269,7950,14167,15226,12225,15461,16376,13575,11091,14537
a,16268,6710,14692,15683,13900,16104,15979,13889,11558,14131
a,16266,7911,14163,15192,12218,15455,16364,13572,11088,14525
a,16266,7926,14178,15258,12238,15472,16390,13589,11102,14539
a,16266,6801,14475,15499,13128,16174,16001,12719,10024,14599
a,16265,6537,14638,15673,13756,16043,15914,13704,11294,14006
a,16264,6490,14587,15693,13666,16017,15899,13630,11201,13986
a,16263,6857,14752,15699,14011,16190,16094,14065,11822,14281
a,16262,7868,14153,15173,12209,15446,16355,13561,11082,14530
a,16260,7915,14106,15103,12128,15413,16337,13514,11051,14511
a,16260,7924,14117,15121,12160,15427,16344,13532,11066,14514
a,16260,6506,14599,15690,13694,16019,15899,13650,11219,13985
a,16259,7908,14184,15276,12256,15482,16394,13597,11108,14546
a,16259,7913,14204,15285,12267,15488,16401,13603,11113,14545
a,16259,6325,14301,15325,12456,16061,15945,12078,9214,14294
a,16257,7968,14236,15314,12315,15509,16427,13631,11148,14564
a,16256,24610,14778,15415,13134,16341,17062,14438,11853,14818
a,16256,7954,14241,15321,12325,15517,16429,13636,11157,14570
a,16254,7915,14096,15082,12104,15402,16328,13502,11038,14510
a,16253,8014,14254,15332,12352,15526,16444,13647,11164,14575
a,16251,7994,14244,15323,12333,15516,16432,13637,11159,14568
a,16251,8000,14257,15337,12361,15530,16448,13650,11166,14578
a,16251,7987,14259,15338,12368,15535,16453,13653,11170,14580
a,16251,8043,14263,15342,12374,15538,16459,13654,11173,14582
a,16251,8054,14270,15347,12384,15542,16467,13661,11180,14587
a,16251,8049,14274,15351,12394,15546,16470,13668,11185,14589
a,16251,5885,14093,15602,12221,16018,15942,11971,9054,18944
a,16250,8062,14303,15376,12445,15578,16499,13690,11209,14607
a,16250,8041,14309,15378,12448,15584,16501,13697,11212,14612
a,16249,8049,14280,15357,12405,15556,16476,13669,11187,14593
a,16249,5757,14425,15584,13205,15856,15603,12896,10637,13956
a,16248,5624,14574,15379,13128,15841,15572,13019,15773,23000
a,16248,7102,14971,15564,14429,16453,16128,14278,12023,14261
a,16244,8024,14319,15383,12458,15592,16504,13703,11216,14615
a,16244,8188,14373,15470,12533,15660,16578,13748,11249,14656
a,16244,8168,14383,15467,12539,15669,16591,13749,11260,14662
a,16243,8096,14333,15400,12478,15606,16521,13716,11227,14625
a,16243,8188,14375,15470,12534,15664,16582,13747,11257,14657
a,16243,8174,14379,15469,12536,15667,16584,13748,11258,14660
a,16243,8178,14387,15471,12543,15673,16593,13749,11262,14665
a,16243,8186,14389,15476,12550,15679,16598,13752,11266,14667
a,16242,8183,14389,15474,12549,15676,16597,13749,11264,14666
a,16241,8082,14325,15386,12467,15594,16506,13705,11219,14621
a,16241,8082,14329,15389,12471,15596,16508,13708,11220,14619
a,16241,8130,14336,15404,12483,15610,16526,13718,11229,14631
a,16241,8144,14340,15412,12492,15622,16538,13724,11233,14639
a,16241,8176,14362,15461,12524,15651,16568,13741,11253,14650
a,16241,8201,14393,15480,12554,15682,16606,13751,11266,14666
a,16241,5334,14023,15591,12084,16000,15744,11805,8907,23878
a,16240,8083,14330,15392,12477,15604,16517,13712,11225,14627
a,16240,8183,14370,15467,12532,15658,16577,13746,11256,14655
a,16240,7007,14964,15540,14408,16433,16136,14241,11993,14259
a,16239,8132,14338,15408,12487,15618,16529,13721,11230,14633
a,16239,8237,14425,15522,12606,15716,16632,13781,11278,14685
a,16239,8239,14427,15526,12608,15722,16634,13785,11278,14685
a,16239,6153,14418,15565,13230,15867,15678,13108,12488,12427
a,16238,6948,14938,15517,14345,16414,16136,14178,11894,14246
a,16237,24394,14810,15402,13115,16328,17045,14420,11827,14809
a,16237,8237,14418,15503,12590,15707,16622,13770,11275,14679
a,16237,8236,14423,15514,12602,15712,16627,13780,11277,14682
a,16236,8240,14421,15510,12600,15710,16626,13775,11277,14681
a,16233,5893,14578,15548,13569,15989,15667,13386,12286,13414
a,16232,8234,14417,15506,12593,15705,16622,13771,11272,14677
a,16231,8220,14416,15502,12589,15703,16621,13769,11273,14677
a,16231,6833,14865,15536,14159,16366,16140,14003,11692,14215
a,16229,8142,14431,15539,12609,15726,16638,13788,11277,14687
a,16229,7264,14961,15542,14233,16201,15680,14048,12838,13872
a,16225,8118,14442,15546,12604,15732,16640,13790,11274,14687
a,16224,7784,15636,15674,15345,16549,15838,14970,13476,13330
a,16223,8281,15997,15773,15924,16895,16143,15115,12963,14335
a,16223,6848,14822,15589,14024,16307,16136,13854,11526,14197
a,16222,8328,16020,15766,15964,16857,16167,15139,12989,14409
a,16219,6152,14283,15656,12677,16158,16011,12527,9694,14186
a,16218,8329,16018,15764,15963,16851,16162,15136,12988,14403
a,16218,6596,14511,15595,13239,16254,16104,13131,10607,14204
a,16217,6408,14540,15426,12848,16208,16006,12704,9947,14209
a,16216,8336,16013,15756,15958,16844,16160,15131,12984,14395
a,16215,6741,14718,15578,13826,16281,16132,13690,11333,14197
a,16214,6228,14238,15677,12612,16133,15769,12288,9448,24175
a,16213,24574,14639,15547,13077,16310,17031,14393,11788,14796
a,16213,8160,14455,15549,12603,15738,16642,13796,11276,14687
a,16202,8299,15987,15698,15908,16827,16053,15112,12950,14101
a,16201,8271,14507,15575,12634,15756,16650,13804,11287,14693
a,16200,8278,14507,15577,12640,15759,16655,13801,11286,14695
a,16200,8300,15984,15693,15906,16817,16048,15111,12939,14094
a,16198,8304,15986,15693,15906,16822,16050,15115,12945,14091
a,16197,24426,14717,15364,13022,16277,17004,14352,11743,14773
a,16197,8257,14503,15573,12630,15754,16653,13805,11286,14695
a,16196,24642,14734,15390,13052,16295,17019,14372,11763,14785
a,16196,8301,15984,15690,15907,16819,16049,15110,12940,14095
a,16195,8302,15984,15693,15905,16817,16050,15111,12941,14097
a,16193,8301,15981,15691,15907,16816,16049,15106,12937,14096
a,16192,24411,14717,15324,12989,16259,16993,14324,11705,14763
a,16192,8308,15984,15688,15904,16812,16044,15102,12929,14090
a,16190,24062,14649,15298,12937,16226,16966,14278,11632,14776
a,16189,24185,14678,15324,12965,16244,16981,14301,11661,14777
a,16188,8059,14940,15949,13299,16262,17175,14289,11870,15191
a,16187,8302,15980,15679,15903,16806,16042,15104,12929,14099
a,16187,8306,15983,15677,15899,16804,16040,15099,12926,14093
a,16185,10998,14475,16671,14236,17262,16405,13604,11181,14613
a,16185,8303,15977,15684,15905,16811,16043,15104,12933,14096
a,16183,11020,14491,16443,14176,17196,16228,13445,11043,14449
a,16183,11002,14474,16613,14236,17256,16256,13476,11111,14616
a,16182,10847,14475,16638,14205,17258,16423,13616,11208,14634
a,16181,11009,14480,16605,14234,17254,16230,13467,11068,14468
a,16181,11031,14479,16643,14236,17257,16396,13596,11156,14594
a,16180,11017,14491,16449,14179,17205,16231,13444,11045,14457
a,16180,11107,14482,16457,14183,17209,16387,13580,11151,14595
a,16180,11173,14485,16464,14182,17215,16349,13530,11136,14563
a,16180,10807,14471,16398,14150,17239,16424,13628,11305,14610
a,16179,10980,14483,16425,14157,17186,16220,13428,11046,14448
a,16179,11005,14488,16436,14169,17193,16223,13437,11043,14452
a,16179,10985,14493,16446,14178,17200,16220,13436,11040,14449
a,16179,11185,14479,16477,14187,17222,16400,13577,11153,14608
a,16178,7430,14799,15817,13197,16122,17047,14251,11776,15088
a,16178,11184,14478,16588,14233,17246,16361,13568,11140,14561
a,16177,10855,14470,16410,14137,17171,16224,13412,11034,14447
a,16177,11197,14469,16495,14194,17228,16374,13559,11161,14627
a,16173,8235,14506,15561,12672,15763,16670,13807,11309,14716
a,16171,8309,15969,15647,15886,16785,16071,15080,12888,14194
a,16168,8348,15968,15640,15869,16778,16151,15063,12858,14460
a,16167,8345,15971,15647,15879,16783,16139,15073,12875,14403
a,16164,24027,14613,15265,12880,16206,16944,14245,11580,14770
a,16160,8182,15916,15626,15787,16750,16166,15030,12805,14475
a,16160,8333,15944,15632,15833,16768,16170,15049,12827,14489
a,16160,8348,15955,15637,15850,16773,16163,15055,12844,14485
a,16159,10719,14552,16467,14183,17217,16398,13667,11387,14558
a,16158,8100,14603,15090,13229,16347,12799,11059,8832,11195
a,16157,8077,14598,15059,13222,16323,12799,11072,8842,11203
a,16157,8067,14604,15073,13223,16335,12796,11061,8831,11193
a,16157,8075,14604,15089,13227,16343,12804,11069,8832,11203
a,16157,8049,14605,15093,13230,16345,12803,11069,8841,11205
a,16156,8216,14597,15054,13215,16321,12787,11065,8830,11198
a,16156,8114,14598,15056,13219,16325,12792,11075,8836,11201
a,16156,8033,14603,15070,13224,16331,12810,11068,8831,11193
a,16156,8104,14602,15082,13223,16339,12803,11074,8839,11206
a,16156,8082,14602,15084,13227,16339,12814,11075,8845,11206
a,16156,8066,14604,15089,13227,16344,12802,11066,8841,11205
a,16156,8032,14605,15076,13237,16350,12812,11067,8835,11197
a,16155,8064,14594,15053,13215,16319,12789,11068,8828,11199
a,16155,8039,14599,15062,13217,16326,12798,11079,8842,11203
a,16155,8132,14600,15064,13224,16327,12809,11075,8844,11211
a,16155,8114,14602,15066,13222,16330,12806,11068,8839,11208
a,16155,8149,15876,15608,15713,16741,16119,15008,12780,14422
a,16154,8032,14579,15019,13180,16296,12925,11189,8920,11315
a,16154,8147,14587,15028,13192,16303,12862,11128,8879,11261
a,16154,8135,14587,15037,13196,16309,12789,11062,8826,11190
a,16154,8027,14608,15077,13278,16335,12817,11117,8955,11227
a,16153,8138,14576,15006,13165,16287,12941,11203,8934,11341
a,16153,8087,14581,15022,13177,16294,12935,11200,8935,11334
a,16153,8135,14586,15034,13195,16308,12815,11091,8849,11217
a,16152,8152,14576,15005,13163,16281,12950,11216,8946,11354
a,16152,8101,14577,15007,13169,16287,12932,11199,8936,11342
a,16152,8136,14587,15030,13193,16307,12834,11105,8859,11230
a,16151,8153,14575,14996,13165,16280,12963,11223,8953,11355
a,16151,8078,14579,15019,13176,16294,12939,11203,8934,11330
a,16151,7980,14583,15015,13184,16298,12912,11174,8911,11302
a,16151,8072,14584,15018,13188,16299,12904,11179,8916,11309
a,16151,8029,14586,15024,13189,16302,12899,11154,8902,11288
a,16151,8156,15855,15557,15694,16696,16010,15003,12778,14286
a,16150,8092,14575,14977,13159,16273,12957,11227,8957,11367
a,16150,8096,14574,14991,13160,16275,12972,11232,8957,11368
a,16150,8061,14591,15046,13208,16314,12769,11052,8820,11184
a,16149,8108,14574,14972,13155,16268,12973,11237,8958,11375
a,16149,8098,14573,14976,13156,16271,12962,11228,8951,11366
a,16148,8096,14574,14984,13160,16275,12972,11233,8958,11369
a,16147,8058,14537,15001,13130,16234,13024,11283,8975,11408
a,16147,8086,14538,14982,13133,16239,12982,11253,8955,11389
a,16145,8059,14538,14997,13130,16229,13026,11296,8991,11429
a,16145,8094,14538,14995,13131,16237,12994,11256,8963,11396
a,16145,8088,14568,14964,13150,16259,12955,11228,8954,11360
a,16144,8083,14535,14986,13122,16218,13056,11316,9005,11444
a,16144,8078,14537,14989,13127,16222,13056,11318,9007,11440
a,16144,8081,14540,14995,13129,16227,13046,11313,9008,11441
a,16144,8058,15835,15528,15674,16665,15933,15001,12774,14191
a,16143,8071,14538,14983,13120,16214,13079,11343,9027,11475
a,16142,8077,14534,14980,13118,16212,13079,11342,9026,11476
a,16141,7943,14515,14947,13092,16187,13135,11392,9071,11527
a,16141,8017,15822,15504,15661,16643,15923,14990,12760,14169
a,16140,7953,14509,14944,13087,16183,13143,11401,9079,11538
a,16139,7967,14508,14931,13082,16180,13138,11401,9075,11531
a,16139,8051,14528,14972,13111,16205,13066,11328,9015,11464
a,16138,7923,14839,16199,14559,17298,16468,14011,11938,14686
a,16138,7931,14505,14921,13078,16173,13152,11407,9080,11541
a,16138,8010,14493,14932,13079,16176,13134,11396,9075,11530
a,16137,7885,14840,16201,14557,17302,16451,13980,11936,14679
a,16137,8029,14498,14909,13071,16161,13160,11425,9094,11558
a,16136,7943,14836,16177,14559,17288,16380,13959,11905,14646
a,16136,7937,14837,16188,14555,17292,16442,13981,11917,14665
a,16136,7843,14834,16190,14553,17297,16457,13973,11915,14653
a,16136,8010,14497,14904,13067,16158,13156,11420,9087,11548
a,16136,7926,14501,14911,13073,16166,13154,11421,9091,11555
a,16134,7839,14835,16163,14560,17283,16259,13818,11771,14479
a,16134,7958,14839,16170,14561,17287,16230,13810,11766,14482
a,16134,7916,14837,16186,14558,17290,16456,13991,11916,14661
a,16134,7949,14837,16205,14551,17299,16455,13980,11934,14673
a,16134,7979,15056,16954,14080,16612,13161,11545,9665,11895
a,16132,8038,14496,14900,13063,16152,13161,11432,9097,11557
a,16131,7924,14500,14914,13071,16166,13137,11409,9086,11548
a,16130,8133,14834,16246,14538,17320,16447,13977,11944,14681
a,16130,8184,14827,16250,14532,17319,16460,13959,11945,14675
a,16129,8137,14834,16243,14542,17316,16440,13962,11939,14673
a,16129,8183,14822,16281,14514,17329,16467,13948,11931,14686
a,16129,8179,14824,16285,14510,17336,16483,13947,11935,14692
a,16128,8137,14823,16282,14515,17333,16463,13937,11925,14678
a,16127,7886,14834,16157,14564,17275,16231,13812,11755,14475
a,16127,8177,14833,16247,14534,17318,16451,13960,11940,14677
a,16127,8144,14824,16287,14510,17334,16461,13928,11919,14672
a,16126,8093,14834,16239,14542,17317,16455,13964,11941,14668
a,16126,8163,14828,16257,14527,17320,16455,13951,11934,14671
a,16126,8217,14821,16260,14518,17324,16441,13938,11936,14684
a,16126,8211,14821,16271,14520,17326,16444,13937,11914,14665
a,16126,8236,14824,16290,14510,17334,16464,13929,11919,14682
a,16125,8070,14830,16229,14537,17311,16442,13970,11938,14673
a,16125,8168,14824,16287,14512,17332,16457,13924,11917,14683
a,16125,8226,14823,16295,14500,17334,16457,13925,11914,14684
a,16125,8231,14817,16308,14491,17336,16480,13932,11923,14707
a,16123,8232,14815,16300,14495,17335,16464,13934,11915,14696
a,16122,8163,14820,16279,14508,17326,16458,13934,11923,14689
a,16122,7838,14475,14842,13016,16129,13145,11416,9084,11554
a,16120,8327,14819,16338,14486,17347,16338,13770,11762,14533
a,16120,8343,14825,16349,14490,17350,16260,13717,11718,14505
a,16119,8300,14820,16335,14488,17346,16316,13841,11808,14588
a,16119,8326,14825,16343,14490,17349,16260,13714,11716,14500
a,16119,8438,14844,16418,14508,17380,16452,13828,11753,14672
a,16119,7830,21514,17065,13011,16123,13138,11414,9077,11547
a,16118,8336,14827,16352,14492,17350,16266,13701,11707,14496
a,16118,8433,14840,16407,14503,17379,16418,13812,11718,14625
a,16117,8197,14825,16257,14523,17321,16439,13945,11936,14689
a,16117,8325,14822,16341,14488,17347,16261,13728,11714,14500
a,16117,8346,14823,16348,14487,17350,16372,13819,11763,14582
a,16117,8428,14833,16396,14497,17375,16492,13877,11788,14702
a,16117,8416,14831,16396,14500,17373,16483,13883,11782,14702
a,16117,8443,14842,16408,14501,17378,16403,13805,11731,14645
a,16117,8428,14841,16415,14506,17377,16415,13791,11646,14518
a,16117,8422,14840,16416,14504,17380,16441,13843,11743,14650
a,16117,8432,14842,16417,14507,17380,16419,13819,11731,14589
a,16116,8313,14817,16337,14486,17344,16332,13770,11753,14544
a,16116,8396,14827,16377,14485,17363,16315,13744,11726,14554
a,16116,8362,14826,16382,14487,17367,16261,13700,11668,14576
a,16116,8444,14839,16409,14507,17380,16440,13826,11740,14640
a,16116,8414,14841,16413,14505,17376,16454,13841,11756,14682
a,16115,8331,14824,16351,14487,17349,16429,13839,11821,14648
a,16115,8389,14825,16381,14489,17367,16275,13710,11706,14508
a,16115,8376,14828,16383,14493,17365,16294,13708,11676,14520
a,16115,8415,14834,16401,14499,17375,16474,13871,11774,14685
a,16115,8448,14838,16408,14501,17379,16372,13799,11715,14604
a,16115,8420,14841,16416,14506,17378,16453,13856,11762,14668
a,16115,7762,14352,14777,12869,15991,13160,11468,9085,11600
a,16114,8316,14815,16331,14486,17341,16397,13844,11828,14629
a,16114,8405,14827,16379,14485,17365,16265,13802,11787,14587
a,16114,8374,14825,16383,14489,17364,16283,13720,11660,14536
a,16114,8399,14833,16397,14500,17376,16479,13874,11779,14688
a,16114,8423,14833,16399,14502,17373,16447,13855,11741,14643
a,16114,7688,14353,14753,12875,15996,13126,11439,9066,11580
a,16113,8386,14827,16380,14486,17367,16366,13792,11723,14569
a,16113,8413,14832,16389,14502,17373,16514,13913,11819,14716
a,16113,8435,14833,16389,14493,17365,16501,13890,11802,14710
a,16113,8414,14834,16400,14499,17372,16492,13894,11796,14697
a,16113,7833,23283,20716,12997,16113,13121,11391,9068,11544
a,16112,10978,14590,16478,14249,17179,16330,13703,11466,14518
a,16112,8368,14824,16378,14488,17364,16326,13742,11761,14593
a,16112,8421,14832,16390,14495,17371,16498,13893,11806,14715
a,16112,8500,14867,16458,14556,17392,16455,13849,11765,14687
a,16112,7688,14272,14791,12816,15960,13119,11422,9035,11577
a,16112,7707,14272,14786,12823,15965,13119,11410,9028,11569
a,16112,7719,14342,14765,12864,15988,13144,11450,9073,11603
a,16111,8396,14821,16372,14482,17358,16391,13806,11788,14627
a,16111,8380,14828,16382,14489,17362,16301,13721,11672,14516
a,16111,8432,14830,16395,14497,17372,16502,13896,11802,14718
a,16111,7675,25607,23162,12724,15860,13189,11474,9030,11643
a,16111,7887,25738,24329,12963,16105,13107,11385,9060,11533
a,16111,7862,26547,24946,12971,16107,13102,11389,9064,11535
a,16110,7595,25532,23025,12713,15853,13170,11471,9030,11634
a,16110,7635,26053,23410,12743,15885,13143,11451,9018,11617
a,16110,7620,26052,23472,12750,15897,13177,11463,9031,11624
a,16109,7381,24911,22309,12673,15837,13275,11565,9077,11697
a,16109,7505,24899,22427,12685,15842,13315,11596,9122,11773
a,16109,7685,25513,23035,12729,15870,13205,11488,9039,11651
a,16109,7843,14295,14791,12859,15979,13170,11469,9075,11602
a,16109,7874,14287,14908,12927,16065,13067,11356,9024,11497
a,16108,7508,25436,22862,12669,15831,13255,11552,9069,11734
a,16108,7554,25026,22542,12704,15843,13245,11534,9071,11700
a,16108,7879,14279,14899,12923,16055,13056,11352,9012,11491
a,16108,7941,14281,14906,12925,16060,13042,11365,9029,11495
a,16108,7927,14273,14893,12930,16065,13066,11357,9029,11502
a,16107,6372,14913,16570,14653,17420,16338,13752,11613,14644
a,16107,7757,26356,24177,12807,15948,13108,11405,9019,11566
a,16107,7748,14282,14769,12838,15968,13128,11428,9036,11568
a,16107,7867,26447,24915,12945,16088,13087,11365,9050,11523
a,16107,7872,26069,24741,12957,16100,13100,11377,9061,11530
a,16106,7897,14274,14899,12918,16051,13060,11352,9014,11502
a,16106,7869,26589,25152,12942,16083,13088,11366,9043,11518
a,16106,7925,26053,23372,12942,16087,13095,11367,9046,11521
a,16104,7801,14259,14883,12905,16036,13065,11371,9020,11508
a,16104,7733,14262,14886,12909,16042,13065,11377,9026,11510
a,16104,7732,14270,14892,12913,16044,13059,11364,9012,11497
a,16104,7881,26104,24765,12950,16087,13073,11353,9041,11507
a,16103,7776,26442,24483,12801,15935,13088,11396,9003,11567
a,16103,7782,14327,14686,12879,16003,13111,11435,9068,11580
a,16102,7478,25556,22780,12657,15819,13206,11509,9050,11684
a,16101,7698,14255,14878,12903,16033,13092,11392,9023,11511
a,16099,7948,15810,15512,15591,16604,15953,14893,12590,14228
a,16098,7855,14247,14868,12893,16023,13101,11401,9043,11542
a,16096,8046,15804,15512,15563,16589,15973,14867,12546,14249
a,16089,8025,15780,15510,15505,16550,15972,14824,12488,14237
a,16082,7926,15727,15494,15350,16470,15950,14751,12392,14202
a,16076,7595,15306,15757,15091,16353,15888,14621,12271,14081
a,16075,7300,15448,15397,14836,16274,15695,14571,12258,13814
a,16070,9522,15491,19436,15540,19135,17848,14335,11839,16221
a,16070,7406,15370,15399,14704,16253,15644,14522,13114,12998
a,16068,11089,14645,16457,14357,17147,16384,13782,11565,14515
a,16067,8540,15593,18271,15470,18506,14658,11880,9995,13752
a,16063,7836,14502,15597,12857,15805,16737,13934,11433,14788
a,16062,7204,15321,15402,14633,16234,15625,14489,12918,12977
a,16056,10264,15769,21232,16282,20525,19023,14868,17496,15364
a,16056,10511,15859,21310,16567,21237,19209,15050,14729,15567
a,16056,6780,15317,15400,14625,16224,15621,14486,13065,12966
a,16052,9171,16859,17477,15067,17918,17051,13960,11620,15256
a,16051,8814,14679,15817,12957,16162,16956,14051,11615,15033
a,16050,6816,15313,15389,14620,16215,15609,14483,13018,12961
a,16042,9320,15626,20926,15880,20106,18653,14548,15070,14988
a,16021,8300,14228,15568,12727,16074,16912,13938,11434,15024
a,16012,10831,15909,21321,16689,23038,19261,15109,15798,16509
a,16008,8396,14322,15631,12787,16078,16917,13974,11448,15036
a,15958,10879,15960,21352,16739,22029,19280,15133,15889,15731
a,15941,6706,15246,15309,14492,15996,15552,14531,13092,12979
a,15925,6584,15238,15302,14459,15971,15536,14537,13065,13008
a,15915,10991,15999,21363,16777,20753,19291,15158,14660,16152
a,15907,8749,14532,15741,13004,16104,16992,14139,11515,15108
a,15906,8740,14526,15728,12998,16100,16986,14131,11509,15100
a,15906,8754,14534,15744,13010,16108,16994,14140,11517,15111
a,15906,6519,15237,15292,14427,15950,15523,14557,13090,12982
a,15901,8758,14536,15748,13012,16109,16997,14143,11519,15110
a,15899,8712,14537,15748,13013,16109,16997,14145,11523,15112
a,15896,8771,14538,15755,13016,16108,16997,14148,11518,15114
a,15893,8768,14537,15761,13018,16111,17004,14151,11526,15117
a,15888,8778,14535,15768,13021,16112,17008,14155,11532,15121
a,15887,8776,14532,15832,13030,16128,17030,14176,11560,15138
a,15887,8795,14536,15845,13031,16134,17037,14179,11561,15144
a,15886,8742,14534,15785,13026,16116,17014,14162,11543,15125
a,15886,8780,14537,15824,13029,16121,17024,14174,11556,15134
a,15886,8786,14533,15834,13029,16129,17033,14176,11561,15137
a,15886,8798,14537,15850,13034,16133,17040,14180,11563,15148
a,15886,8809,14539,15850,13030,16135,17041,14181,11563,15150
a,15885,8782,14535,15827,13031,16122,17027,14176,11558,15135
a,15884,8777,14536,15777,13023,16117,17013,14161,11538,15123
a,15883,8802,14530,15837,13029,16126,17032,14175,11560,15141
a,15883,8798,14538,15854,13031,16136,17044,14179,11565,15151
a,15881,8819,14538,15860,13036,16141,17047,14180,11563,15153
a,15880,6842,15295,15271,14467,15975,15500,14610,13117,13005
a,15879,8812,14550,15874,13043,16148,17058,14186,11572,15162
a,15878,8823,14550,15876,13043,16151,17059,14185,11573,15165
a,15878,8814,14554,15884,13045,16154,17062,14188,11576,15170
a,15878,8837,14559,15890,13047,16159,17068,14192,11582,15175
a,15877,8812,14545,15869,13039,16143,17052,14182,11568,15158
a,15877,8832,14553,15879,13046,16152,17058,14188,11576,15165
a,15877,8820,14555,15886,13049,16157,17061,14191,11577,15172
a,15877,8845,14557,15889,13046,16157,17062,14191,11580,15173
a,15876,8825,14554,15881,13046,16152,17058,14187,11576,15167
a,15875,8816,14549,15876,13044,16148,17056,14187,11572,15163
a,15873,8847,14563,15896,13053,16164,17069,14199,11589,15177
a,15872,8857,14564,15897,13053,16165,17071,14196,11591,15176
a,15872,8836,14565,15902,13054,16169,17072,14198,11592,15180
a,15872,8841,14569,15902,13054,16170,17074,14200,11594,15180
a,15872,8848,14575,15902,13059,16171,17077,14201,11597,15183
a,15872,8854,14579,15910,13059,16173,17080,14202,11601,15184
a,15871,8844,14569,15903,13056,16173,17077,14202,11596,15181
a,15869,8832,14585,15919,13060,16177,17083,14204,11605,15189
a,15868,8855,14581,15913,13062,16178,17083,14203,11602,15186
a,15868,8829,14583,15915,13059,16174,17083,14206,11604,15187
